date,Boro-Fine_min_wholesale_price,Boro-Fine_max_wholesale_price,Boro-Fine_unit,Soybean Oil(loose)_min_wholesale_price,Soybean Oil(loose)_max_wholesale_price,Soybean Oil(loose)_unit,Green Chili (Local)_min_wholesale_price,Green Chili (Local)_max_wholesale_price,Green Chili (Local)_unit,Cow Milk (liquid)_min_wholesale_price,Cow Milk (liquid)_max_wholesale_price,Cow Milk (liquid)_unit,Egg Farm-Red_min_wholesale_price,Egg Farm-Red_max_wholesale_price,Egg Farm-Red_unit,Potato (Local) - Old_min_wholesale_price,Potato (Local) - Old_max_wholesale_price,Potato (Local) - Old_unit
2013-08-11,,,,10726.0,10726.0,100 Liters,5609.0,5609.0,Quintal,5000.0,5000.0,100 Liters,735.0,735.0,100 pieces,1293.0,1293.0,Quintal
2013-08-12,,,,10717.0,10717.0,100 Liters,5491.0,5491.0,Quintal,5000.0,5000.0,100 Liters,733.0,733.0,100 pieces,1293.0,1293.0,Quintal
2013-08-13,,,,10717.0,10717.0,100 Liters,5400.0,5400.0,Quintal,5000.0,5000.0,100 Liters,737.0,737.0,100 pieces,1525.0,1525.0,Quintal
2013-08-14,2218.0,2218.0,Quintal,10688.0,10688.0,100 Liters,5671.0,5671.0,Quintal,5400.0,5400.0,100 Liters,748.0,748.0,100 pieces,1577.0,1577.0,Quintal
2013-08-18,,,,10907.0,10907.0,100 Liters,5209.0,5209.0,Quintal,5000.0,5000.0,100 Liters,760.0,760.0,100 pieces,1625.0,1625.0,Quintal
2013-08-19,,,,10958.0,10958.0,100 Liters,4830.0,4830.0,Quintal,5000.0,5000.0,100 Liters,772.0,772.0,100 pieces,1433.0,1433.0,Quintal
2013-08-20,,,,10641.0,10641.0,100 Liters,5418.0,5418.0,Quintal,5000.0,5000.0,100 Liters,762.0,762.0,100 pieces,1625.0,1625.0,Quintal
2013-08-21,2263.0,2263.0,Quintal,10726.0,10726.0,100 Liters,5245.0,5245.0,Quintal,4900.0,4900.0,100 Liters,767.0,767.0,100 pieces,1567.0,1567.0,Quintal
2013-08-22,,,,10817.0,10817.0,100 Liters,5517.0,5517.0,Quintal,5000.0,5000.0,100 Liters,767.0,767.0,100 pieces,1625.0,1625.0,Quintal
2013-08-25,,,,10714.0,10714.0,100 Liters,5090.0,5090.0,Quintal,5000.0,5000.0,100 Liters,770.0,770.0,100 pieces,1550.0,1550.0,Quintal
2013-08-26,,,,11044.0,11044.0,100 Liters,5267.0,5267.0,Quintal,5000.0,5000.0,100 Liters,1511.0,1511.0,100 pieces,1300.0,1300.0,Quintal
2013-08-27,,,,10692.0,10692.0,100 Liters,5400.0,5400.0,Quintal,5000.0,5000.0,100 Liters,1368.0,1368.0,100 pieces,1550.0,1550.0,Quintal
2013-08-28,2205.0,2205.0,Quintal,10506.0,10506.0,100 Liters,4813.0,4813.0,Quintal,4833.0,4833.0,100 Liters,744.0,744.0,100 pieces,1273.0,1273.0,Quintal
2013-08-29,2303.0,2303.0,Quintal,10828.0,10828.0,100 Liters,4605.0,4605.0,Quintal,5167.0,5167.0,100 Liters,765.0,765.0,100 pieces,1375.0,1375.0,Quintal
2013-09-01,,,,10762.0,10762.0,100 Liters,4367.0,4367.0,Quintal,5000.0,5000.0,100 Liters,1316.0,1316.0,100 pieces,1550.0,1550.0,Quintal
2013-09-02,,,,10727.0,10727.0,100 Liters,4258.0,4258.0,Quintal,5000.0,5000.0,100 Liters,1322.0,1322.0,100 pieces,1550.0,1550.0,Quintal
2013-09-03,,,,10610.0,10610.0,100 Liters,4000.0,4000.0,Quintal,5000.0,5000.0,100 Liters,767.0,767.0,100 pieces,1550.0,1550.0,Quintal
